"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Wbp111",2.490091e-11,0.3244418,0.127,0.055,4.34247e-07,"T-cells/NK cells","Wbp11"
"Polr1d2",2.492589e-11,0.3788685,0.367,0.241,4.346826e-07,"T-cells/NK cells","Polr1d"
"Rap1a2",2.656385e-11,0.4113922,0.231,0.13,4.63247e-07,"T-cells/NK cells","Rap1a"
"Hnrnpd",2.72075e-11,0.3008178,0.144,0.066,4.744716e-07,"T-cells/NK cells","Hnrnpd"
"Gm118082",2.901917e-11,0.4230071,0.114,0.048,5.060653e-07,"T-cells/NK cells","Gm11808"
"Rsrp17",3.008233e-11,0.3683331,0.345,0.224,5.246057e-07,"T-cells/NK cells","Rsrp1"
"Sf3b61",3.243866e-11,0.303997,0.248,0.14,5.656978e-07,"T-cells/NK cells","Sf3b6"
"Twistnb",3.681164e-11,0.3044507,0.108,0.044,6.419582e-07,"T-cells/NK cells","Twistnb"
"Swt12",4.709261e-11,0.3385089,0.125,0.055,8.212481e-07,"T-cells/NK cells","Swt1"
"Sec628",4.714716e-11,0.439731,0.311,0.203,8.221993e-07,"T-cells/NK cells","Sec62"
"Cisd21",4.772606e-11,0.3749965,0.157,0.077,8.322948e-07,"T-cells/NK cells","Cisd2"
"Mgea51",5.021872e-11,0.3261196,0.108,0.045,8.757642e-07,"T-cells/NK cells","Mgea5"
"Ggnbp23",5.215251e-11,0.4054608,0.144,0.068,9.094876e-07,"T-cells/NK cells","Ggnbp2"
"Hprt2",5.83962e-11,0.3198345,0.18,0.091,1.018371e-06,"T-cells/NK cells","Hprt"
"Sh3glb11",5.862505e-11,0.3768524,0.269,0.159,1.022362e-06,"T-cells/NK cells","Sh3glb1"
"Rbm51",7.89432e-11,0.3809546,0.133,0.062,1.37669e-06,"T-cells/NK cells","Rbm5"
"Nktr5",8.100629e-11,0.4059244,0.229,0.133,1.412669e-06,"T-cells/NK cells","Nktr"
"Zfas13",8.597119e-11,0.4281361,0.163,0.082,1.499252e-06,"T-cells/NK cells","Zfas1"
"Hif1a3",9.137138e-11,0.3846517,0.131,0.06,1.593425e-06,"T-cells/NK cells","Hif1a"
"Map2k31",1.114025e-10,0.3831862,0.161,0.08,1.942749e-06,"T-cells/NK cells","Map2k3"
"Smc31",1.168338e-10,0.294152,0.146,0.07,2.037464e-06,"T-cells/NK cells","Smc3"
"Rps6-ps41",1.561721e-10,0.4272796,0.114,0.05,2.723486e-06,"T-cells/NK cells","Rps6-ps4"
"Ell21",1.569545e-10,0.4017213,0.121,0.054,2.73713e-06,"T-cells/NK cells","Ell2"
"Stat12",1.87613e-10,0.3629447,0.104,0.043,3.271783e-06,"T-cells/NK cells","Stat1"
"Npm34",1.936627e-10,0.3780826,0.163,0.083,3.377284e-06,"T-cells/NK cells","Npm3"
"Ddx46",1.954935e-10,0.2920955,0.108,0.045,3.409211e-06,"T-cells/NK cells","Ddx46"
"Ctsc",2.297922e-10,0.2781846,0.161,0.079,4.007346e-06,"T-cells/NK cells","Ctsc"
"Ctsd4",3.062337e-10,0.2864837,0.347,0.231,5.340409e-06,"T-cells/NK cells","Ctsd"
"Tsn",3.315714e-10,0.3166062,0.195,0.105,5.782273e-06,"T-cells/NK cells","Tsn"
"Tnfaip82",3.35004e-10,0.3463294,0.123,0.056,5.842135e-06,"T-cells/NK cells","Tnfaip8"
"Ppp2r2a2",3.436853e-10,0.350434,0.114,0.051,5.993528e-06,"T-cells/NK cells","Ppp2r2a"
"Raly3",3.483865e-10,0.3604791,0.258,0.157,6.075512e-06,"T-cells/NK cells","Raly"
"Nfat53",3.786637e-10,0.3537776,0.119,0.054,6.603516e-06,"T-cells/NK cells","Nfat5"
"Cab392",3.94764e-10,0.3000698,0.153,0.076,6.884289e-06,"T-cells/NK cells","Cab39"
"Mcl14",4.04283e-10,0.2687781,0.271,0.161,7.050291e-06,"T-cells/NK cells","Mcl1"
"Hipk12",4.206024e-10,0.3445201,0.127,0.059,7.334885e-06,"T-cells/NK cells","Hipk1"
"Thrap31",4.360291e-10,0.4168216,0.15,0.076,7.603912e-06,"T-cells/NK cells","Thrap3"
